corridor,shipments,avg_actual_factor,avg_pred_factor
IND403702AAA -> IND575004AAB,36,1.9748824797310764,2.187297497684052
IND516115AAA -> IND517501AAB,48,2.6391787059097593,2.1860235370831993
IND110037AAM -> IND121004AAB,36,2.243335292060929,2.163767431624891
IND600032AAB -> IND600076AAB,20,2.01445632798574,2.1634387760554556
IND000000ACB -> IND201301AAM,103,1.8824677583620664,2.1632968804859836
IND000000ACB -> IND712311AAA,597,2.4352453391840228,2.1606093190394584
IND322241AAA -> IND322201AAA,20,2.364155274428612,2.1600926376894614
IND421302AAG -> IND712311AAA,220,1.9454516627524323,2.1589735167158035
IND712311AAA -> IND421302AAG,75,2.128972759462086,2.1580450770253075
IND506167AAB -> IND501359AAE,20,2.5872940481955373,2.1570310562919603
IND751002AAB -> IND760003AAB,32,1.75485815322903,2.1537705454910476
IND751002AAB -> IND562132AAA,110,2.3261295261246495,2.1452779619536284
IND517583AAA -> IND516101AAA,42,2.0794245501662614,2.1452239972821836
IND110037AAM -> IND421302AAG,204,2.2717090311992436,2.1381599530566087
IND362720AAA -> IND362560AAA,22,2.166049037749665,2.1376080009038687
IND000000ACB -> IND110095AAB,50,2.0242134304622628,2.122788399489611
IND600032AAB -> IND600056AAB,50,2.396895640823379,2.120409085379409
IND335051AAA -> IND335513AAA,21,3.0956641859847855,2.110926920269482
IND000000ACB -> IND209304AAA,53,2.3286583356041333,2.108253680940249
IND121004AAB -> IND121102AAA,50,2.2101985817503063,2.1081385331716036
IND144001AAC -> IND160002AAC,34,2.4137128910120236,2.107690805400156
IND306401AAB -> IND302014AAA,49,1.8745754311007656,2.1062649013455226
IND000000ACB -> IND821115AAB,111,2.2254579890315163,2.106201822565969
IND423701AAB -> IND422011AAD,41,1.8113682103342987,2.1048455837397055
IND248001AAA -> IND131028AAB,27,1.9618683235289027,2.1012942244367134
IND411033AAA -> IND411036AAA,21,2.0795263247972606,2.0926676193504474
IND712311AAA -> IND826004AAA,21,1.5731000888801592,2.091639728254234
IND411033AAA -> IND431603AAA,36,2.069433245723383,2.082110233822398
IND577002AAA -> IND581115AAC,20,2.324737394603913,2.0783993219041696
IND501359AAE -> IND411033AAA,120,2.269029180115126,2.0782650704307613
IND431136AAC -> IND431203AAA,40,1.8032404972324847,2.0627768842364267
IND201301AAM -> IND000000ACB,23,2.1528542632563017,2.0622571312452647
IND000000ACB -> IND834002AAB,133,2.038148578843784,2.0606251406310108
IND411033AAA -> IND431136AAC,50,1.899055390672164,2.057740849679845
IND160002AAC -> IND000000ACB,132,2.1317314243697836,2.0547824225405265
IND580028AAA -> IND591123AAC,24,1.852142092839631,2.048901697010911
IND415709AAA -> IND416012AAA,21,2.289917750351352,2.0468748862275077
IND462022AAA -> IND209304AAA,42,2.059646105103676,2.0447119647380716
IND110052AAA -> IND000000ACB,21,2.1029114114303136,2.0330359580720616
IND421302AAG -> IND462022AAA,30,1.8865536912364953,2.0322611518811993
IND302014AAA -> IND306401AAB,26,2.1020182328526285,2.0304964159695094
IND826004AAA -> IND209304AAA,64,1.8056274814511175,2.0286965349594848
IND508377AAB -> IND501359AAE,30,2.1674199828230454,2.0261902396687783
IND210501AAB -> IND209304AAA,36,1.823108574192787,2.024329980435006
IND388620AAB -> IND388320AAA,21,1.7855237906030368,2.0232259692870165
IND444005AAB -> IND421302AAG,42,1.952383627785419,2.01669773028257
IND362265AAA -> IND362720AAA,24,2.0138909723227063,2.016452538522468
IND121002AAB -> IND000000ACB,25,1.7071923164969,2.015610489868525
IND313001AAB -> IND306401AAB,21,1.8949091747749294,2.0121308620398173
IND000000ACB -> IND000000AEL,42,1.8306516501164993,2.004146280733253
IND431203AAA -> IND431112AAB,28,1.9608331092638591,1.997944210017905
IND854326AAB -> IND000000ACB,200,2.0096394466026557,1.9956040173996732
IND530012AAA -> IND501359AAE,24,1.9292940853160319,1.9954808849597268
IND421302AAG -> IND395023AAA,50,2.513760038625749,1.993413368089263
IND122001AAA -> IND000000ACB,28,1.438771218302868,1.9920129560038031
IND000000ACB -> IND421302AAG,391,1.8971656412907583,1.9915019332514612
IND712311AAA -> IND000000ACB,120,1.9300468143056144,1.9890586699670316
IND263153AAB -> IND131028AAB,22,1.9484885160841616,1.9798628045597568
IND000000ACB -> IND302014AAA,90,2.1173246996393127,1.9763499807142482
IND121004AAB -> IND000000ACB,49,1.8392678172160835,1.9760012317462756
IND000000ACB -> IND160002AAC,78,2.10571099360531,1.9674587974779014
IND811399AAA -> IND209304AAA,51,1.716829239887321,1.9662870269693982
IND000000ACB -> IND110043AAA,24,1.6667350185627987,1.961790793465531
IND712311AAA -> IND751002AAB,84,1.805514539059517,1.9554230033079867
IND312605AAB -> IND313001AAB,24,2.1154080014075882,1.9543720161722868
IND000000ACB -> IND125001AAA,28,2.493029203894704,1.9490991370817994
IND000000ACA -> IND160002AAC,32,2.364801512565009,1.9457688161791373
IND508223AAA -> IND500039AAC,20,2.0768599227150983,1.9438147257766663
IND000000ACB -> IND842001AAA,160,1.8928825265892677,1.9373395643011757
IND313001AAB -> IND312001AAA,30,1.9815400805793741,1.9361126727700892
IND160002AAC -> IND000000ACA,22,1.836013990210977,1.93270657538729
IND110037AAM -> IND209304AAA,53,1.8527210974038675,1.9326905880440184
IND562132AAA -> IND560058AAD,30,1.8902706260600999,1.923882327586904
IND562132AAA -> IND751002AAB,219,1.9547854088087475,1.9238072776813377
IND421302AAG -> IND131028AAB,318,1.8534582425516544,1.923781805932842
IND562132AAA -> IND302014AAA,208,1.8377412652206646,1.923674027503778
IND000000ACB -> IND382430AAB,166,1.9749916837501806,1.9168156900133895
IND562132AAA -> IND421302AAG,107,1.6935266545524625,1.9166049240437089
IND322201AAA -> IND303503AAA,20,1.6745143515179666,1.9105074716966257
IND421302AAG -> IND382430AAB,74,1.7971020188544373,1.9077288361816687
IND606201AAC -> IND605601AAA,20,1.9901582707857912,1.9024430552676257
IND000000ACB -> IND751002AAB,56,1.7406726754364583,1.8950959790962487
IND000000ACB -> IND521225AAB,63,1.8723376059230306,1.8882904373614846
IND600056AAB -> IND600110AAA,28,1.7866601840460412,1.8785910574833307
IND411033AAA -> IND521225AAB,35,1.675412236477289,1.878414685200212
IND382430AAB -> IND395023AAA,80,2.0486526189906114,1.8770049872867993
IND577201AAA -> IND562132AAA,20,1.8870448031213525,1.87531572794012
IND402109AAA -> IND402301AAA,29,1.8419777732380371,1.8737369067435614
IND302014AAA -> IND313001AAB,30,1.7817435693501478,1.868784818250293
IND303503AAA -> IND302014AAB,22,1.7935917534034624,1.8684260324381432
IND614620AAA -> IND630561AAA,20,1.868364587646824,1.863966585163422
IND110037AAM -> IND202001AAB,35,1.756849648995334,1.8625335284821303
IND501359AAE -> IND751002AAB,37,1.797276629085885,1.8588034663005304
IND000000ACB -> IND110030AAD,25,1.708938302812235,1.8560339271686215
IND457226AAA -> IND382430AAB,65,1.8529329252339442,1.8556897591574315
IND562132AAA -> IND560083AAB,52,1.686823145577872,1.8538270562239798
IND000000ACB -> IND131028AAB,129,1.9826937092272547,1.853184361099188
IND000000ACB -> IND302022AAD,45,1.681782032905313,1.8524052051125197
IND421302AAG -> IND411033AAA,70,1.961902408971396,1.8519136039152329
IND395023AAA -> IND110037AAM,258,1.79408784790074,1.8431949428218866
IND000000ACB -> IND121002AAB,60,1.7316265141662934,1.8425755820534964
IND416012AAA -> IND395023AAA,48,1.8651970439659566,1.8424989134679441
IND131028AAB -> IND160002AAC,96,1.7252839267809836,1.8410791100561736
IND000000ACB -> IND462022AAA,152,1.6933433211681996,1.8399562760810038
IND560099AAB -> IND560048AAB,21,1.8282262562036358,1.8395187369416064
IND000000ACB -> IND110037AAK,28,1.4424547962163696,1.8387856048012998
IND000000ACB -> IND411033AAA,151,1.797942947467198,1.8364506137259442
IND131028AAB -> IND136118AAA,24,1.8821638624262045,1.8354427078374218
IND000000ACT -> IND160002AAC,30,1.7880033915220492,1.8321793576731291
IND160002AAC -> IND160102AAC,24,1.9290131983127183,1.831362762611408
IND502220AAC -> IND501359AAE,25,2.1337337618768486,1.8305756431868878
IND142001AAB -> IND152026AAA,24,1.5731435541543577,1.8288216798621406
IND000000ACB -> IND501359AAE,443,1.9256859646551385,1.8283487220091563
IND518002AAA -> IND501359AAE,40,1.9459635744844808,1.8269050730176546
IND000000ACB -> IND600056AAB,158,1.7442535689658893,1.8256961296723555
IND411033AAA -> IND416012AAA,21,2.1986100259806785,1.8229866684843834
IND390022AAA -> IND395023AAA,21,1.5944735409401463,1.8183505086989167
IND515004AAA -> IND501359AAE,70,1.6166733239656874,1.8163920657696615
IND560300AAA -> IND562132AAA,60,1.7466776411288587,1.8150721590918053
IND583227AAA -> IND583231AAA,25,2.111449245972466,1.81429767823774
IND421302AAG -> IND000000ACB,245,1.9280648341048359,1.8128407978120706
IND302022AAD -> IND000000ACB,22,1.711622577630579,1.8093523487615386
IND209304AAA -> IND000000ACB,126,1.9633520137590985,1.8084913870530346
IND842001AAA -> IND854326AAB,44,1.677448778675492,1.8059676400108169
IND585104AAA -> IND585211AAA,20,1.7594525502238754,1.7984660731556903
IND302014AAB -> IND303008AAB,21,1.856565345879896,1.798071962543021
IND560058AAB -> IND560099AAB,24,1.5071837520186053,1.7979697643560117
IND530012AAA -> IND532001AAB,77,1.7307669911554677,1.792090693924427
IND821115AAB -> IND209304AAA,60,1.7689804837318082,1.7902405244393065
IND160002AAC -> IND184104AAA,36,1.9580486487972872,1.7841380383343157
IND600056AAB -> IND530012AAA,20,1.6162712371132084,1.7815201433621017
IND160002AAC -> IND142001AAB,21,1.7268413126675803,1.7811977018814835
IND501359AAE -> IND518002AAA,23,1.7091655994156736,1.7779838723304828
IND560099AAB -> IND560058AAB,44,1.8860404506176698,1.7776159624092662
IND501359AAE -> IND506002AAA,21,1.8600507761066247,1.774974296967027
IND396321AAA -> IND396580AAB,20,1.7594427896676923,1.7701760479012236
IND562132AAA -> IND560099AAB,105,1.6677943572592275,1.7682377117545591
IND515134AAA -> IND515201AAA,30,1.6798349924831615,1.763859306022135
IND131021AAA -> IND131028AAA,25,1.7431801531801532,1.7532691111092416
IND821115AAB -> IND000000ACB,37,1.804432975049944,1.7530421595882573
IND421302AAG -> IND413002AAA,32,1.816784482758894,1.7492104523882241
IND160002AAC -> IND140901AAA,30,1.55379790249907,1.7477383629104966
IND151001AAA -> IND160002AAC,40,1.5923105999770795,1.7461908655937204
IND382430AAB -> IND000000ACB,102,1.6991989088260995,1.7459141011508923
IND403726AAA -> IND411033AAA,63,1.4332107268561483,1.7443970584799768
IND562132AAA -> IND560300AAA,131,1.6430168119599549,1.7437370253006612
IND581110AAE -> IND581119AAB,30,1.7694999489053123,1.740977634247911
IND395023AAA -> IND562132AAA,188,1.7657288621036047,1.7405702824904739
IND206001AAA -> IND000000ACB,26,1.6256443661350504,1.7395187412663664
IND523002AAA -> IND600056AAB,39,1.8035111617545647,1.7353440919504193
IND110044AAB -> IND000000ACB,72,1.672847041962735,1.734249431639911
IND581115AAC -> IND581110AAE,20,1.6041380008880008,1.731405514846826
IND591123AAC -> IND587103AAB,21,1.6247700937719274,1.7297468906906674
IND421302AAG -> IND562132AAA,76,1.5937441976858817,1.7294157859560664
IND560099AAB -> IND560300AAA,90,1.7539694419953133,1.7287163136702914
IND000000ACT -> IND000000ACB,70,1.841486635224721,1.7253524830190992
IND395023AAA -> IND382430AAB,20,1.6285841055447086,1.7220493946628017
IND751002AAB -> IND530012AAA,38,1.599308893974171,1.7210599798270554
IND302014AAA -> IND110037AAM,33,1.577174238688419,1.7159411591090654
IND600056AAB -> IND501359AAE,23,1.6109123544113917,1.7118589374161128
IND462022AAA -> IND000000ACB,234,1.7330296507689322,1.71124141718726
IND421302AAG -> IND501359AAE,56,1.827768868124857,1.7102243717704877
IND000000ACB -> IND328001AAA,20,1.589110287822193,1.7099525166907603
IND000000ACB -> IND121004AAB,42,1.8809962213210216,1.7076601306392876
IND562132AAA -> IND416012AAA,50,1.8639334160640744,1.7045518423875015
IND561202AAB -> IND515134AAA,21,1.6530767309750154,1.7025001042695427
IND562132AAA -> IND501359AAE,88,1.6821491414608352,1.7018132358058826
IND382430AAB -> IND364004AAB,21,1.6523977778202454,1.700693088531719
IND000000ACB -> IND390022AAA,105,1.7303855684136644,1.699818534036215
IND562132AAA -> IND000000ACB,460,1.785745187908244,1.6987868101314603
IND302014AAA -> IND000000ACB,26,1.82407926827312,1.6964744834776346
IND411033AAA -> IND000000ACB,102,1.545256846613274,1.6920587905461264
IND524003AAA -> IND501359AAE,34,1.6944495128685702,1.6903298101506754
IND000000ABD -> IND562132AAA,27,1.5062344560395426,1.6896819350400958
IND560099AAB -> IND683511AAA,32,1.6782435649887177,1.6887685228341156
IND000000ACB -> IND562132AAA,1070,1.7442112245506223,1.688480597571649
IND608301AAA -> IND639104AAB,30,1.6339687579493731,1.6879968163215038
IND600056AAB -> IND632006AAA,20,1.553569278190267,1.6837503184528182
IND411033AAA -> IND562132AAA,34,1.7711988261155074,1.6816622600896505
IND000000ACB -> IND122001AAA,27,2.028562972250068,1.6792637970271027
IND560099AAB -> IND562132AAA,71,1.8153807391634147,1.677050299649546
IND673592AAA -> IND562132AAA,29,1.7349977170699233,1.6742011007689088
IND322230AAA -> IND322241AAA,20,1.5170434314626693,1.6734164666680946
IND562132AAA -> IND573201AAB,21,1.538170387162296,1.673209614169569
IND600056AAB -> IND560099AAB,20,1.7831143516236332,1.671564799767155
IND000000ACB -> IND110064AAA,88,1.6975840936812487,1.6706033236110456
IND586211AAA -> IND585314AAA,44,1.7731658497932294,1.663055450797299
IND131028AAB -> IND000000ACB,160,1.8287819074754421,1.6544642981924702
IND585104AAA -> IND586128AAA,32,1.5625441300645646,1.65274749508779
IND122004AAA -> IND122413AAE,24,2.0951323703663394,1.6522928603150477
IND560300AAA -> IND560043AAC,33,1.5887884683308549,1.6486835997806892
IND160002AAC -> IND151001AAA,25,1.510728027665086,1.6481688665051917
IND560300AAA -> IND560085AAA,25,1.8790964373831887,1.6479330982551925
IND413002AAA -> IND501359AAE,65,1.4489911108404148,1.6407789760440266
IND160102AAC -> IND160002AAC,28,1.598541323158164,1.6355638265734505
IND586128AAA -> IND586211AAA,21,1.5754944891925318,1.633514184256521
IND474003AAA -> IND000000ACB,72,1.622660477978172,1.629515138686582
IND000000ACB -> IND201007AAA,28,1.7534780296547368,1.6212949423200147
IND562132AAA -> IND411033AAA,68,1.4736542519238693,1.6097079051455574
IND560300AAA -> IND560058AAB,21,1.2874702325756433,1.608872169856156
IND411033AAA -> IND501359AAE,24,1.4304236258217171,1.6084445916680465
IND518002AAA -> IND562132AAA,41,1.4007100642280956,1.6061433642671519
IND000000ACB -> IND201301AAF,27,1.5228104275033143,1.6020414774982177
IND683511AAA -> IND562132AAA,32,1.5659863418110835,1.6015063930440496
IND411033AAA -> IND413002AAA,84,1.4049452987466302,1.5997234296393428
IND580028AAA -> IND581402AAA,24,1.4891738590145236,1.5960249769986354
IND501359AAE -> IND501141AAA,20,1.3988687077666118,1.5892347297205742
IND600056AAB -> IND562132AAA,52,1.7571039435747515,1.5884790435626028
IND362560AAA -> IND362150AAA,23,1.572144151728387,1.5865108523162992
IND600056AAB -> IND600076AAB,20,1.3137573516993215,1.5846850393841527
IND562132AAA -> IND518002AAA,71,1.4574479272622562,1.581253253195618
IND501359AAE -> IND523002AAA,48,1.4697598010059565,1.578369389172216
IND560099AAB -> IND632006AAA,24,1.1830967246774167,1.569457248467791
IND501359AAE -> IND585104AAA,24,1.5603452064614067,1.5563594829784828
IND635802AAB -> IND562132AAA,20,1.6769441950760022,1.5506093406943853
IND562132AAA -> IND515004AAA,27,1.2649539758698947,1.5292411433021706
IND390022AAA -> IND388320AAA,24,1.3439410988196674,1.5247340670786216
IND585222AAA -> IND585307AAB,20,1.4954801099151553,1.5174401172654606
IND382430AAB -> IND370201AAA,24,1.6423237999647744,1.4964082372104759
IND000000ACT -> IND131028AAB,44,1.418811136478324,1.4882641146964888
IND642001AAA -> IND641062AAD,24,1.4925857059932681,1.4652539448238615
IND201307AAA -> IND201301AAL,23,1.4342733086897848,1.4427426421910245
IND110044AAB -> IND131028AAB,50,1.3586705905976535,1.4401003625893969
IND742223AAA -> IND742226AAA,26,1.3261026457056233,1.4223444314886922
IND641062AAD -> IND642126AAA,28,1.395196333662655,1.415825420103823
IND160002AAC -> IND174307AAA,35,1.4716282611163827,1.3729026742201194
IND691001AAB -> IND691506AAA,20,1.330782883782884,1.3649031452695313
IND627005AAA -> IND628801AAA,20,1.3467285976312473,1.3545693323693435
IND303303AAA -> IND322230AAA,41,1.1609378765541303,1.344406565292215
IND160055AAA -> IND160002AAC,22,1.0656938843154322,1.3089233742737252
IND454001AAA -> IND457001AAA,20,0.9860326017030706,1.261464427376055
