facility,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness_centrality,closeness_centrality,pagerank,hub_score,authority_score,community_id,community_size
IND000000AAL,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.1304060974519144,0.00038065558694031605,0.0020161681499039894,0.0018483843261384663,37,64
IND411033AAA,0.025966183574879224,0.013888888888888888,0.012077294685990338,0.04325401183047964,0.16179963467164934,0.006173840043393564,0.01720225744901284,0.019171419280664445,37,64
IND000000AAQ,0.0006038647342995169,0.0,0.0006038647342995169,0.0,0.0,0.00011808275676922355,0.00013835711431855145,-0.0,75,64
IND700028AAB,0.0018115942028985505,0.0012077294685990338,0.0006038647342995169,0.00040354948406964695,0.13476002779456087,0.0004715708006663181,0.0019230395093584294,0.0013156155894983685,75,64
IND000000AAS,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0032247471430447918,0.07874976945893923,0.0005392744194365851,9.353169169925937e-21,-1.4897528412064858e-19,82,67
IND783370AAC,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0032225579053373615,0.07054372357200395,0.0005771297781032085,-1.5894518281444697e-20,8.893778416655045e-20,82,67
IND000000AAZ,0.0024154589371980675,0.0012077294685990338,0.0012077294685990338,0.0016149276821810646,0.11189949258349495,0.0008767367304131371,1.7392848295794325e-21,0.0002851087975438559,7,58
IND444203AAA,0.0018115942028985505,0.0012077294685990338,0.0006038647342995169,0.0016105492067662042,0.09597754678787428,0.0009084995252017765,0.00033816925314305744,-3.0850910780852607e-21,7,58
IND444303AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.09595288023768463,0.0004909554883960139,-3.2444454320926464e-22,1.9623671314041366e-20,7,58
IND000000ABA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0004053738488258389,0.11494847814188144,0.0004790190419979697,-7.121377400629745e-22,0.000349325285004853,0,43
IND683565AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0004031846111184086,0.09817319405859347,0.0005256734739074998,0.000540287537993645,-6.7716034503284156e-21,0,43
IND000000ABD,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0004031846111184086,0.08573950097711125,0.00048434467064845154,0.003023180784318906,3.2616087350341967e-22,0,43
IND562132AAA,0.0428743961352657,0.021739130434782608,0.021135265700483092,0.1249428383249191,0.17149869407663337,0.009634653686236588,0.03091717113535309,0.02874694076492863,60,109
IND000000ABG,0.0006038647342995169,0.0,0.0006038647342995169,0.0,0.0,0.00011808275676922355,3.3563595289499114e-22,-0.0,3,5
IND501359AAF,0.0018115942028985505,0.0018115942028985505,0.0,0.0,0.001932367149758454,0.0005045712889252036,-0.0,3.1915083962226242e-21,3,5
IND000000ACA,0.013285024154589372,0.00785024154589372,0.005434782608695652,0.008060043492855789,0.1257503054916911,0.0028954815547480805,0.0024178368873550775,0.0028631651669427808,10,83
IND140406AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.00020250448793730024,0.105945702895809,0.0003917066473335093,3.4811752750505103e-06,0.0002597968213760803,10,83
IND142001AAB,0.0024154589371980675,0.0012077294685990338,0.0012077294685990338,0.001200067136623028,0.12526510887597078,0.0006278454402887732,0.00026720990405257854,0.0021556115128630485,10,83
IND142401AAA,0.0018115942028985505,0.0012077294685990338,0.0006038647342995169,0.0,0.10596073705259854,0.0005908659458121895,0.000301105637146365,0.00029890594082456504,10,83
IND143001AAA,0.0024154589371980675,0.0018115942028985505,0.0006038647342995169,0.0,0.1253702676309036,0.0010632092705271656,0.0002346501993181581,0.002387354400254527,10,83
IND144001AAB,0.006038647342995169,0.0030193236714975845,0.0030193236714975845,0.003630485864821869,0.12545452184302114,0.0025591282014080083,0.002156748872251135,0.0022312510767686293,10,83
IND144514AAA,0.0018115942028985505,0.0006038647342995169,0.0012077294685990338,0.00040500897587460047,0.10593067300463353,0.0003917066473335093,0.00030458681242141554,0.0002597968213760803,10,83
IND147301AAA,0.0024154589371980675,0.0012077294685990338,0.0012077294685990338,0.00020250448793730024,0.10596073705259854,0.0005908659458121895,0.00030458681242141554,0.00029890594082456504,10,83
IND152026AAA,0.00785024154589372,0.003623188405797101,0.004227053140096618,0.004246026533561014,0.10611131362933947,0.001867008141624303,0.0021917898573904112,0.00030502685068881194,10,83
IND160002AAC,0.03683574879227053,0.01932367149758454,0.01751207729468599,0.0550782085482796,0.15354828583377786,0.008052103472194625,0.017643675039547294,0.01479417345996922,10,83
IND000000ACB,0.056763285024154585,0.02717391304347826,0.029589371980676328,0.22022768627996903,0.18396287608023204,0.01142356167572816,0.044912504431744917,0.03436966134272695,1,122
IND000000AEL,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.1444304282417141,0.0003162679819927208,0.0036144959070443334,0.0048258532047504915,1,122
IND110024AAA,0.0024154589371980675,0.0018115942028985505,0.0006038647342995169,0.00040610359472831564,0.14772200272161706,0.0020430820533392305,1.5421320384802444e-20,0.006989173109229952,1,122
IND110030AAD,0.0018115942028985505,0.0012077294685990338,0.0006038647342995169,0.0,0.1446542646279856,0.0003708304987093085,0.0036144959070443334,0.005818308522390001,1,122
IND110037AAK,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.1444304282417141,0.0003162679819927208,0.0036144959070443334,0.0048258532047504915,1,122
IND110043AAA,0.0030193236714975845,0.0018115942028985505,0.0012077294685990338,0.0012117430710626561,0.14454225977732515,0.0008098000174362821,0.003655806604915143,0.004937439563721476,1,122
IND110043AAC,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.1444304282417141,0.0003162679819927208,0.0036144959070443334,0.0048258532047504915,1,122
IND110052AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.1444304282417141,0.0003162679819927208,0.0036144959070443334,0.0048258532047504915,1,122
IND110064AAA,0.0030193236714975845,0.0012077294685990338,0.0018115942028985505,0.0008114774435541545,0.14727915463701416,0.0004881991093652002,0.0036980725142618047,0.006910195293966418,1,122
IND110085AAB,0.005434782608695652,0.0024154589371980675,0.0030193236714975845,0.002426405125735219,0.14739544295492732,0.0009693751554589031,0.003785605626106455,0.007069977098326544,1,122
IND110092AAC,0.0030193236714975845,0.0018115942028985505,0.0012077294685990338,0.0008085584599442474,0.14733727585036735,0.0009219697323221487,0.003655806604915143,0.006989173109229952,1,122
IND110095AAB,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.1444304282417141,0.0003162679819927208,0.0036144959070443334,0.0048258532047504915,1,122
IND121002AAB,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.1444304282417141,0.0003162679819927208,0.0036144959070443334,0.0048258532047504915,1,122
IND121004AAB,0.00966183574879227,0.005434782608695652,0.004227053140096618,0.004889860262105325,0.14768696875191095,0.002444597851166853,0.0054307991212312135,0.0075047950197212185,1,122
IND122001AAA,0.004227053140096618,0.0012077294685990338,0.0030193236714975845,0.0020730410785450293,0.14454225977732515,0.000501987610562039,0.0053044651549129275,0.004881008714353307,1,122
IND122015AAC,0.0006038647342995169,0.0006038647342995169,0.0,0.0,0.14463436060392076,0.0003162679819927208,-0.0,0.0048258532047504915,1,122
IND124103AAA,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.14451428566085966,0.0003162679819927208,0.0005133127686174047,0.0048258532047504915,1,122
IND124112AAA,0.0024154589371980675,0.0006038647342995169,0.0018115942028985505,0.0,0.14445836989933486,0.0003162679819927208,0.001868338718150328,0.0048258532047504915,8,21
IND125001AAA,0.009057971014492754,0.004227053140096618,0.004830917874396135,0.008983895887731644,0.14792102100032922,0.002909977894561716,0.005697701365121117,0.007509472532620912,8,21
IND125005AAA,0.005434782608695652,0.0024154589371980675,0.0030193236714975845,0.005489070491369179,0.14499132310867222,0.0010485530740466707,0.004057973173671656,0.005229654021130306,8,21
IND125033AAA,0.0024154589371980675,0.0012077294685990338,0.0012077294685990338,0.0,0.14451428566085966,0.0004059492401585277,0.001339714125452021,0.005026606391521618,8,21
IND127021AAA,0.0018115942028985505,0.0012077294685990338,0.0006038647342995169,0.0012128376899163712,0.1445982405131026,0.0005853117564901415,-6.3966762906925755e-21,0.0048810087143533075,1,122
IND131028AAB,0.024154589371980676,0.012077294685990338,0.012077294685990338,0.04783690260196255,0.1560512672956451,0.005777341508132403,0.008606813220864049,0.016319537431744816,15,71
IND201001AAC,0.0024154589371980675,0.0012077294685990338,0.0012077294685990338,5.091518278193724e-05,0.14727915463701416,0.0004881991093652002,0.005123958352640491,0.006910195293966418,1,122
IND201007AAA,0.00785024154589372,0.004830917874396135,0.0030193236714975845,0.0037709810634413326,0.14792102100032922,0.0022982691437209617,2.1620715509600848e-05,0.008483512963810435,1,122
IND201301AAF,0.006642512077294686,0.004830917874396135,0.0018115942028985505,0.001635360567450414,0.14979224673377597,0.0024769771298260557,1.055735031423381e-05,0.0084834709140972,1,122
IND201301AAM,0.0012077294685990338,0.0006038647342995169,0.0006038647342995169,0.0,0.1444304282417141,0.0003162679819927208,0.0036144959070443334,0.0048258532047504915,1,122
IND209304AAA,0.01751207729468599,0.00966183574879227,0.00785024154589372,0.04035938944323359,0.15186197152931907,0.005097767208896985,0.0061063665517853355,0.009326769951054997,1,122
IND282002AAD,0.006642512077294686,0.003623188405797101,0.0030193236714975845,0.004668943013233845,0.14765776428903735,0.001304732105425944,0.0022396839336806594,0.008090065416477884,1,122
IND301001AAB,0.004830917874396135,0.0030193236714975845,0.0018115942028985505,0.00322748369017908,0.14601198944264016,0.0010919090043267274,0.0009728201438169336,0.005684167732897307,22,73
IND301705AAA,0.0018115942028985505,0.0012077294685990338,0.0006038647342995169,0.0012142971817213247,0.14457024472597518,0.00036646020788938625,5.93535174226169e-06,0.004881653757508733,1,122
IND302014AAA,0.010869565217391304,0.006038647342995169,0.004830917874396135,0.04048963994902146,0.15514342697063407,0.0029005776205290857,0.006162762768681761,0.0089751713100919,22,73
