facility,community_id,community_size
IND803116AAA,85,6
IND804452AAA,85,6
IND804420AAA,85,6
IND803212AAB,86,3
IND803213AAA,86,3
IND811105AAA,86,3
IND811307AAA,87,4
IND811201AAB,87,4
IND811213AAA,87,4
IND813213AAA,87,4
IND812002AAA,88,3
IND813102AAA,88,3
IND813203AAA,88,3
IND826001AAC,89,31
IND814133AAB,89,31
IND802212AAA,89,31
IND828111AAA,89,31
IND802119AAA,89,31
IND814112AAA,89,31
IND802101AAA,89,31
IND825102AAA,89,31
IND821109AAA,89,31
IND825409AAA,89,31
IND834002AAB,89,31
IND814101AAB,89,31
IND814133AAA,89,31
IND824101AAA,89,31
IND816109AAA,89,31
IND828401AAB,89,31
IND828205AAA,89,31
IND827013AAA,89,31
IND829121AAA,89,31
IND816107AAA,89,31
IND825301AAA,89,31
IND826004AAA,89,31
IND829122AAA,89,31
IND821115AAB,89,31
IND802158AAB,89,31
IND802213AAB,89,31
IND821307AAA,89,31
IND815353AAA,89,31
IND815301AAA,89,31
IND832109AAB,89,31
IND815351AAA,89,31
IND841101AAA,90,3
IND844101AAB,90,3
IND841207AAB,90,3
IND841424AAA,91,5
IND841405AAA,91,5
IND841226AAB,91,5
IND841301AAC,91,5
IND841428AAA,91,5
IND843105AAB,92,25
IND847212AAA,92,25
IND843301AAA,92,25
IND845455AAB,92,25
IND846004AAA,92,25
IND843320AAA,92,25
IND847223AAA,92,25
IND845418AAB,92,25
IND848210AAA,92,25
IND847226AAA,92,25
IND843126AAA,92,25
IND851112AAB,92,25
IND844505AAB,92,25
IND845305AAA,92,25
IND847404AAB,92,25
IND848101AAA,92,25
IND845412AAB,92,25
IND845438AAA,92,25
IND851127AAA,92,25
IND843109AAB,92,25
IND843329AAB,92,25
IND847103AAA,92,25
IND845401AAA,92,25
IND842001AAA,92,25
IND848114AAA,92,25
IND853204AAA,93,15
IND854311AAA,93,15
IND854326AAB,93,15
IND852139AAB,93,15
IND854335AAA,93,15
IND852118AAA,93,15
IND851204AAA,93,15
IND854105AAB,93,15
IND852113AAA,93,15
IND852131AAA,93,15
IND854105AAA,93,15
IND852118A1B,93,15
IND852111AAA,93,15
IND852201AAA,93,15
IND854334AAA,93,15
