facility,community_id,community_size
IND425406AAA,38,19
IND424101AAA,38,19
IND425401AAA,38,19
IND441206AAB,39,3
IND442605AAA,39,3
IND441603AAA,39,3
IND441614AAA,40,2
IND481001AAA,40,2
IND441904AAB,41,3
IND441912AAA,41,3
IND441107AAB,41,3
IND442101AAB,42,3
IND445001AAB,42,3
IND442001AAA,42,3
IND440014AAA,43,2
IND445101AAA,43,2
IND480001AAA,44,42
IND484224AAA,44,42
IND483501AAA,44,42
IND483225AAA,44,42
IND480661AAA,44,42
IND466116AAA,44,42
IND462011AAA,44,42
IND487551AAA,44,42
IND484001AAA,44,42
IND465333AAA,44,42
IND465683AAA,44,42
IND482002AAA,44,42
IND465001AAA,44,42
IND470117AAA,44,42
IND480106AAA,44,42
IND465333A1B,44,42
IND465669AAB,44,42
IND484446AAA,44,42
IND480334AAA,44,42
IND487001AAB,44,42
IND842003AAB,44,42
IND484551AAA,44,42
IND464001AAA,44,42
IND462001AAA,44,42
IND461111AAA,44,42
IND464221AAA,44,42
IND487001AAA,44,42
IND466001AAA,44,42
IND462022AAA,44,42
IND462042AAA,44,42
IND461001AAA,44,42
IND470113AAA,44,42
IND460001AAA,44,42
IND470004AAA,44,42
IND481661AAA,44,42
IND470227AAB,44,42
IND464668AAA,44,42
IND473443AAA,44,42
IND480886AAA,44,42
IND484661AAE,44,42
IND483770AAA,44,42
IND462021AAA,44,42
IND474003AAA,45,50
IND276129AAA,45,50
IND476001AAA,45,50
