facility,degree
IND000000ACB,94
IND562132AAA,71
IND160002AAC,61
IND421302AAG,58
IND501359AAE,57
IND712311AAA,46
IND110037AAM,45
IND411033AAA,43
IND131028AAB,40
IND600056AAB,36
IND781018AAB,32
IND382430AAB,30
IND560099AAB,29
IND209304AAA,29
IND842001AAA,27
IND462022AAA,22
IND000000ACA,22
IND400072AAB,22
IND302014AAB,21
IND530012AAA,21
