Component,Importance,Graph_%
Embeddings,0.7181198282632288,65.23740173310586
Centrality,0.18256427301784883,16.585002045942908
Edge Intelligence,0.14238730029714922,12.935135816598848
Community,0.0577079200770782,5.242460404352389
