feature,mean_positive_shap,family
num__dst_embedding_15,0.01139351209623675,Embeddings
num__src_embedding_21,0.011334660957410047,Embeddings
num__src_embedding_10,0.010210023017883903,Embeddings
cat__dst_community_id_4,0.01002134722908736,Community
num__src_embedding_17,0.009759147555912886,Embeddings
num__dst_embedding_11,0.009361183360610651,Embeddings
num__dst_community_size,0.009181650427610006,Community
num__src_embedding_25,0.009071089605356205,Embeddings
num__dst_embedding_25,0.008690281801069672,Embeddings
num__src_embedding_7,0.008059647758960082,Embeddings
cat__src_community_id_31,0.007893818226460486,Community
num__src_embedding_11,0.007786706112996104,Embeddings
num__dst_embedding_16,0.007615286556314384,Embeddings
num__dst_pagerank,0.007390488555844799,Centrality
cat__src_community_id_58,0.00734904024039855,Community
num__src_embedding_18,0.006722121808847179,Embeddings
num__dst_embedding_10,0.0066768541681593565,Embeddings
num__dst_embedding_31,0.00647674160330641,Embeddings
num__src_embedding_1,0.006349297484073104,Embeddings
num__dst_embedding_20,0.0063196416115289065,Embeddings
cat__dst_community_id_76,0.006140326629375909,Community
num__dst_hub_score,0.006090989538254676,Centrality
cat__dst_community_id_88,0.00606132907454151,Community
num__dst_embedding_27,0.0059545342317100965,Embeddings
num__dst_embedding_3,0.0058640321710143,Embeddings
num__src_embedding_8,0.005721707142647511,Embeddings
num__src_embedding_19,0.005626723812121045,Embeddings
num__hub_score_difference,0.005545304402732717,Edge Intelligence
num__dst_out_degree_centrality,0.00535730565164598,Centrality
num__dst_embedding_17,0.005348859450445481,Embeddings
num__src_pagerank,0.005225629599434327,Centrality
num__src_authority_score,0.005030568212582093,Centrality
num__dst_embedding_14,0.004988447317471447,Embeddings
num__dst_embedding_12,0.004476755963276399,Embeddings
num__dst_embedding_29,0.004410444945640127,Embeddings
num__src_embedding_2,0.004277759534808668,Embeddings
num__dst_embedding_9,0.0042734857994789965,Embeddings
cat__src_community_id_8,0.004222091522298906,Community
cat__src_community_id_44,0.004084296958852532,Community
num__src_closeness_centrality,0.004034634212968083,Centrality
num__dst_embedding_18,0.0039970452815364325,Embeddings
num__dst_embedding_28,0.003975256108401224,Embeddings
cat__src_community_id_79,0.003229312062240186,Community
num__dst_embedding_7,0.0029158633195506675,Embeddings
num__src_degree_centrality,0.0026932084896777943,Centrality
cat__src_community_id_7,0.0015963488268352843,Community
