Model,MAE,RMSE,R2,MAPE,MAE_Gain_vs_Baseline,RMSE_Gain_vs_Baseline
Baseline,0.44427005180756285,1.0041228233964037,0.5827263548196434,20.69803208854224,0.0,0.0
Baseline + Centrality,0.4231691820688427,0.9599012275430728,0.6186705274615285,19.726877891429528,4.749559339610872,4.404002660128086
Baseline + Centrality + Community,0.42318788341834374,0.9567371416518604,0.6211803078468479,19.626704530050414,4.745349884252592,4.719112108642564
Full Graph,0.4076131874655386,0.9300059480799782,0.6420529966179602,18.800973135683797,8.251032045235023,7.381255917052884
