,MAE,RMSE,R2,MAPE
Mean,0.6235200067622484,1.5546249971470538,-0.00022699542812776308,29.746670442201616
RF_Baseline,0.41778956297962355,0.98190362679213,0.6009888728861921,19.286831393091937
RF_Graph,0.4128555487742199,0.9372294237424504,0.6364709615787647,19.481117179368635
LGBM_Baseline,0.44727794558865785,1.0135777073671297,0.5748312083673144,20.828475905598946
LGBM_Graph,0.4082196374063635,0.9329960643260334,0.6397475839499551,18.817073177329107
